case_code	case_name	court_from	court_type	result	author	judge_panel
739 F.3d 1347	In re Enhanced Sec Research LLC	Patent Trial and Appeal Board	Federal Court	AFFIRMED.	DYK	
752 F.3d 949	Deckers Corp v US	United States Court of International Trade	Federal Court	AFFIRMED	O'MALLEY	Before PROST, SCHALL, and O'MALLEY, Circuit Judges.
709 F.3d 1117	Move Inc v Real Estate Alliance Ltd	Central District of California	Federal District Court	VACATED AND REMANDED	LOURIE	Before RADER, Chief Judge, LOURIE, and MOORE, Circuit Judges.
676 F.3d 1354	Landmark Screens LLC v Morgan Lewis And Bockius LLP	Northern District of California	Federal District Court	REVERSED–IN–PART, VACATED–IN–PART, AND REMANDED	CLEVENGER	Before BRYSON, CLEVENGER, and O'MALLEY, Circuit Judges.
848 F.3d 987	Personal Web Technologies LLC v Apple Inc	Patent Trial and Appeal Board	Federal Court	AFFIRMED IN PART, VACATED AND REMANDED IN PART.	Taranto	Before Taranto, Chen, and Stoll, Circuit Judges.
827 F.3d 1341	Bascom Global Internet Services Inc v ATAndT Mobility LLC	Northern District of Texas	Federal District Court	VACATED AND REMANDED	Chen	Before Newman, O'Malley, and Chen, Circuit Judges.
743 F.3d 1359	Takeda Pharmaceutical Co Ltd v Zydus Pharmaceuticals USA Inc	District of New Jersey	Federal District Court	REVERSED–IN–PART, AFFIRMED–IN–PART, AND REMANDED.	PROST	Before PROST, PLAGER, and CHEN, Circuit Judges.
805 F.3d 1112	Cubist Pharmaceuticals Inc v Hospira Inc	District of Delaware	Federal District Court	AFFIRMED	BRYSON	Before WALLACH, BRYSON, and HUGHES, Circuit Judges.
754 F.3d 1364	Gemalto SA v HTC Corp	Eastern District of Texas	Federal District Court	AFFIRMED	DYK	Before NEWMAN, RADER, *  and DYK, Circuit Judges.
818 F.3d 1369	Genetic Technologies Ltd v Merial LLC	District of Delaware	Federal District Court	AFFIRMED.	DYK	Before PROST, Chief Judge, DYK, and TARANTO, Circuit Judges.
766 F.3d 1388	Michaels Stores Inc v US	United States Court of International Trade	Federal Court	AFFIRMED	PROST	Before PROST, Chief Judge, CLEVENGER and CHEN, Circuit Judges.
876 F.3d 1350	Arctic Cat Inc v Bombardier Recreational Products Inc	Southern District of Florida	Federal District Court	AFFIRMED IN PART, VACATED IN PART, AND REMANDED	Moore	Before Moore, Plager, and Stoll, Circuit Judges.
726 F.3d 1359	Monolithic Power Systems Inc v O Micro Intern Ltd	Northern District of California	Federal District Court	AFFIRMED	PROST	Before PROST, MAYER, and REYNA, Circuit Judges.
811 F.3d 479	Lumen View Technology LLC v Findthebestcom Inc	Southern District of New York	Federal District Court	AFFIRMED IN PART, VACATED IN PART, AND REMANDED	LOURIE	
824 F.3d 1352	Indacon Inc v Facebook Inc	Western District of Texas	Federal District Court	AFFIRMED	Stoll	Before Newman, Reyna, and Stoll, Circuit Judges.
771 F.3d 1354	Antares Pharma Inc v Medac Pharma Inc	District of Delaware	Federal District Court	AFFIRMED	DYK	Before DYK, REYNA, and TARANTO, Circuit Judges.
716 F.3d 1352	NSK Corp v US Intern Trade Com'n	International Trade Commission	Federal Court	REVERSED	O'MALLEY	Before NEWMAN, PROST, and O'MALLEY, Circuit Judges.
700 F.3d 1377	COMINT Systems Corp v US	United States Court of Federal Claims	Federal Court	AFFIRMED	DYK	Before BRYSON, DYK, and PROST, Circuit Judges.
821 F.3d 1359	Intelligent BioSystems Inc v Illumina Cambridge Ltd	Patent Trial and Appeal Board	Federal Court	AFFIRMED	O'MALLEY	Before O'MALLEY, WALLACH, and HUGHES, Circuit Judges.
830 F.3d 1374	WiLAN USA Inc v Apple Inc	Southern District of California	Federal District Court	AFFIRMED	Chen	Before Lourie, Bryson, and Chen, Circuit Judges.
676 F.3d 1316	Bayer Schering Pharma AG v Lupin Ltd	Southern District of New York	Federal District Court	AFFIRMED	BRYSON	Before NEWMAN, PLAGER, and BRYSON, Circuit Judges.
802 F.3d 1283	Summit  LLC v Samsung Electronics Co Ltd	Northern District of Texas	Federal District Court	AFFIRMED	REYNA	Before PROST, Chief Judge, REYNA, and HUGHES, Circuit Judges.
777 F.3d 1363	Gaylord v US	United States Court of Federal Claims	Federal Court	AFFIRMED.	TARANTO	Before MOORE, REYNA, and TARANTO, Circuit Judges.
873 F.3d 905	Secured Mail Solutions LLC v Universal Wilde Inc	Central District of California	Federal District Court	AFFIRMED	Reyna	Before Prost, Chief Judge, Clevenger, and Reyna, Circuit Judges.
841 F.3d 1327	In re Rearden LLC	Northern District of California	Federal District Court	The petition is denied.	United States Magistrate Judges	Before Moore, Hughes, and Stoll, Circuit Judges.
753 F.3d 1263	Krauser v BioHorizons Inc	Southern District of Florida	Federal District Court		DYK	Before LOURIE, CLEVENGER, and DYK, Circuit Judges.
694 F.3d 51	LaserDynamics Inc v Quanta Computer Inc	Eastern District of Texas	Federal District Court	AFFIRMED–IN–PART, REVERSED–IN–PART, and REMANDED.	REYNA	Before DYK, CLEVENGER, and REYNA, Circuit Judges.
764 F.3d 1401	Ferring BV v Watson Laboratories IncFlorida	District of Nevada	Federal District Court	AFFIRMED IN PART, REVERSED IN PART, and VACATED IN PART		Before LOURIE, DYK, and REYNA, Circuit Judges. LOURIE, Circuit Judge.
695 F.3d 1334	In re Droge			AFFIRMED	MOORE	Before NEWMAN, MOORE, and O'MALLEY, Circuit Judges.
745 F.3d 1180	Alcon Research Ltd v Barr Laboratories Inc	District of Delaware	Federal District Court	AFFIRMED IN PART and REVERSED IN PART.	LOURIE	Before NEWMAN, LOURIE, and BRYSON, Circuit Judges.
763 F.3d 1354	Apotex Inc v UCB Inc	Southern District of Florida	Federal District Court	AFFIRMED	REYNA	Before REYNA, WALLACH, and HUGHES, Circuit Judges.
820 F.3d 419	SimpleAir Inc v Sony Ericsson Mobile Communications AB	Eastern District of Texas	Federal District Court	REVERSED–IN–PART, VACATED–IN–PART, AND REMANDED	WALLACH	Before MOORE, REYNA, and WALLACH, Circuit Judges.
697 F.3d 1342	Energy Transp Group Inc v William Demant Holding AS	District of Delaware	Federal District Court	AFFIRMED	RADER	Before RADER, Chief Judge, and PLAGER and LINN, Circuit Judges.
732 F.3d 1346	Ncube Corp v SeaChange Intern Inc	District of Delaware	Federal District Court	AFFIRMED.	PROST	Before RADER, Chief Judge, PROST and TARANTO, Circuit Judges.
724 F.3d 1367	Boeri v US	United States Court of Federal Claims	Federal Court	AFFIRMED	CLEVENGER	Before NEWMAN, CLEVENGER, and MOORE, Circuit Judges.
867 F.3d 1246	Personal Audio LLC v Electronic Frontier Foundation	Patent Trial and Appeal Board	Federal Court	AFFIRMED	Newman	Before Newman, Clevenger, and O'Malley, Circuit Judges.
672 F.3d 1335	Aspex Eyewear Inc v Marchon Eyewear Inc	Southern District of Florida	Federal District Court	REVERSED AND REMANDED	BRYSON	Before RADER, Chief Judge, BRYSON and REYNA, Circuit Judges.
768 F.3d 1196	EMD Millipore Corp v AllPure Technologies Inc	District of Massachusetts	Federal District Court	AFFIRMED.	PROST	Before PROST, Chief Judge, O'MALLEY and HUGHES, Circuit Judges.
856 F.3d 902	In re Affinity Labs of Texas LLC	Patent Trial and Appeal Board	Federal Court	AFFIRMED	Chen	Before Taranto, Chen, and Stoll, Circuit Judges.
845 F.3d 1168	Phigenix Inc v Immunogen Inc	Patent Trial and Appeal Board	Federal Court	DISMISSED	Wallach	Before Dyk, Wallach, and Hughes, Circuit Judges.
668 F.3d 1340	ClearValue Inc v Pearl River Polymers Inc	Eastern District of Texas	Federal District Court	REVERSED–IN–PART, AFFIRMED–IN–PART	MOORE	Before PROST, SCHALL, and MOORE, Circuit Judges.
791 F.3d 1340	WesternGeco LLC v ION Geophysical Corp	Southern District of Texas	Federal District Court	AFFIRMED–IN–PART, REVERSED–IN–PART, AND REMANDED	DYK	Before DYK, WALLACH, and HUGHES, Circuit Judges.
669 F.3d 1362	Thorner v Sony Computer Entertainment America LLC	District of New Jersey	Federal District Court	VACATED and REMANDED	MOORE	Before RADER, Chief Judge, MOORE, Circuit Judge and AIKEN, District Judge. *
857 F.3d 1347	Halo Electronics Inc v Pulse Electronics Inc	District of Nevada	Federal District Court	DISMISSED	Lourie	Before Lourie, Moore, and Hughes, Circuit Judges.
677 F.3d 1375	In re Montgomery			AFFIRMED	DYK	Before LOURIE, DYK, and PROST, Circuit Judges.
719 F.3d 1305	Robert Bosch LLC v Pylon Mfg Corp	District of Delaware	Federal District Court	patents, the decree must be reversed.	PROST	Before  RADER,  Chief  Judge,  NEWMAN,  LOURIE,  DYK,  PROST,  MOORE,  O'MALLEY,  REYNA,  and
811 F.3d 466	Pfizer Inc v Lee	Eastern District of Virginia	Federal District Court	AFFIRMED	O'MALLEY	Before NEWMAN, DYK, and O'MALLEY, Circuit Judges.
826 F.3d 1357	Immersion Corporation v HTC Corporation	District of Delaware	Federal District Court	REVERSED AND REMANDED	Taranto	Before Prost, Chief Judge, Linn and Taranto, Circuit Judges.
672 F.3d 1041	Sioux Honey Ass'n v Hartford Fire Ins Co	United States Court of International Trade	Federal Court	AFFIRMED–IN–PART AND VACATED–IN–PART	PROST	Before RADER, Chief Judge, LOURIE and PROST, Circuit Judges.
718 F.3d 1350	Organic Seed Growers and Trade Ass'n v Monsanto Co	Southern District of New York	Federal District Court	AFFIRMED	DYK	Before DYK, BRYSON, and MOORE, Circuit Judges.
809 F.3d 1307	SightSound Technologies LLC v Apple Inc	Patent Trial and Appeal Board	Federal Court	AFFIRMED	DYK	Before LOURIE, DYK, and HUGHES, Circuit Judges.
785 F.3d 625	Takeda Pharmaceuticals USA Inc v WestWard Pharmaceutical Corp	District of Delaware	Federal District Court	DISMISSED AS MOOT	DYK	Before NEWMAN, DYK, and HUGHES, Circuit Judges.
837 F.3d 1299	McRO Inc v Bandai Namco Games America Inc	Central District of California	Federal District Court	REVERSED AND REMANDED	Reyna	Before Reyna, Taranto, and Stoll, Circuit Judges.
780 F.3d 1149	Enzo Biochem Inc v Applera Corp	District of Connecticut	Federal District Court	REVERSED–IN–PART, VACATED–IN–PART, AND REMANDED	PROST	Before PROST, Chief Judge, NEWMAN and LINN, Circuit Judges.
860 F.3d 1367	Board of Trustees of Leland Stanford Junior University v Chinese Universit	Patent Trial and Appeal Board	Federal Court	VACATED AND REMANDED	O'Malley	Before O'Malley, Reyna, and Chen, Circuit Judges.
749 F.3d 1368	Vaillancourt v Becton Dickinson And Co	Patent Trial and Appeal Board	Federal Court	DISMISSED.	RADER	Before RADER, Chief Judge, LINN and TARANTO, Circuit Judges.
743 F.3d 1377	In re Apple Inc	Eastern District of Texas	Federal District Court	The petition for a writ of mandamus is denied.	REYNA	Before NEWMAN, PROST, and REYNA, Circuit Judges.
806 F.3d 1367	Siemens Energy Inc v US	United States Court of International Trade	Federal Court	AFFIRMED.	NEWMAN	Before NEWMAN, O'MALLEY, and WALLACH, Circuit Judges.
695 F.3d 1370	Apple Inc v Samsung Electronics Co Ltd	Northern District of California	Federal District Court	REVERSED AND REMANDED	PROST	Before PROST, MOORE, and REYNA, Circuit Judges.
709 F.3d 1134	Global Commodity Group LLC v US	United States Court of International Trade	Federal Court	AFFIRMED.	O'MALLEY	Before LOURIE, MOORE, and O'MALLEY, Circuit Judges.
668 F.3d 1334	Adair v Carter			AFFIRMED	LINN	Before RADER, Chief Judge, LINN and MOORE, Circuit Judges.
692 F.3d 1272	Woods v DeAngelo Marine Exhaust Inc	Southern District of Florida	Federal District Court	AFFIRMED.	LINN	Before LINN, DYK, and REYNA, Circuit Judges.
843 F.3d 1345	US Water Services Inc v Novozymes AS	Western District of Wisconsin	Federal District Court	VACATED–IN-PART, AFFIRMED-IN-PART, AND REMANDED	Wallach	Before Wallach, Hughes, and Stoll, Circuit Judges.
700 F.3d 503	Ritz Camera And Image LLC v SanDisk Corp	Northern District of California	Federal District Court	AFFIRMED	BRYSON	Before BRYSON, DYK, and MOORE, Circuit Judges.
843 F.3d 942	Medgraph Inc v Medtronic Inc	Second Circuit	Appellate Court	AFFIRMED	Lourie	Before Lourie, Plager, and Taranto, Circuit Judges.
778 F.3d 1379	Couture v Playdom Inc	Trademark Trial and Appeal Board	Federal Court	AFFIRMED	DYK	Before DYK, MOORE, and O'MALLEY, Circuit Judges.
786 F.3d 892	Classen Immunotherapies Inc v Elan Pharmaceuticals Inc	District of Maryland	Federal District Court	VACATED AND REMANDED	LOURIE	Before PROST, Chief Judge, LOURIE, Circuit Judge, and GILSTRAP, District Judge. *
857 F.3d 1363	Suntec Industries Co Ltd v United States	United States Court of International Trade	Federal Court	AFFIRMED	Taranto	Before Newman, Taranto, and Chen, Circuit Judges.
873 F.3d 1354	Cisco Systems Inc v International Trade Commission	Federal Circuit	Appellate Court	AFFIRMED	Reyna	
716 F.3d 1370	Yangzhou Bestpak Gifts And Crafts Co Ltd v US	United States Court of International Trade	Federal Court	Vacated and remanded.	RADER	Before RADER, Chief Judge, MAYER, and PROST, Circuit Judges.
696 F.3d 1379	Belkin Intern Inc v Kappos	Patent Trial and Appeal Board	Federal Court	AFFIRMED	LOURIE	Before RADER, Chief Judge, LOURIE and WALLACH, Circuit Judges.
744 F.3d 715	Frans Nooren Afdichtingssystemen BV v Stopaq Amcorr Inc	Southern District of Texas	Federal District Court	VACATED AND REMANDED.	TARANTO	Before RADER, Chief Judge, TARANTO, and CHEN, Circuit Judges.
838 F.3d 1272	SigmaTau HealthScience Inc v United States	United States Court of International Trade	Federal Court	REVERSED AND REMANDED	Dyk	Before Newman, Dyk, and Reyna, Circuit Judges.
675 F.3d 1297	In re Chamber of Commerce of the US	Trademark Trial and Appeal Board	Federal Court	AFFIRMED	REYNA	Before PROST, MAYER, and REYNA, Circuit Judges.
715 F.3d 891	Biosig Instruments Inc v Nautilus Inc	Southern District of New York	Federal District Court	REVERSED AND REMANDED	WALLACH	Before NEWMAN, SCHALL, and WALLACH, Circuit Judges.
733 F.3d 329	In re Biedermann	Patent Trial and Appeal Board	Federal Court	VACATED AND REMANDED	LINN	Before MOORE, LINN, and O'MALLEY, Circuit Judges.
783 F.3d 872	In re TriVita Inc	Trademark Trial and Appeal Board	Federal Court	AFFIRMED.	NEWMAN	Before NEWMAN, MOORE, and HUGHES, Circuit Judges.
755 F.3d 899	Microsoft Corp v DataTern Inc	Southern District of New York	Federal District Court	Affirmed in part, reversed in part, and remanded.	MOORE	Before PROST and MOORE, Circuit Judges. 1
767 F.3d 1334	Jang v Boston Scientific Corp	Central District of California	Federal District Court	This petition is denied.	LINN	Before DYK, PLAGER, and LINN, Circuit Judges.
875 F.3d 1360	BASF Corporation v Johnson Matthey Inc	District of Delaware	Federal District Court	REVERSED AND REMANDED	Taranto	Before Lourie, O'Malley, and Taranto, Circuit Judges.
808 F.3d 1313	Advanced Steel Recovery LLC v XBody Equipment Inc	Eastern District of California	Federal District Court	AFFIRMED.	STOLL	Before PROST, Chief Judge, MOORE and STOLL, Circuit Judges.
856 F.3d 1012	Nova Chemicals Corporation (Canada) v Dow Chemical Company	District of Delaware	Federal District Court	AFFIRMED.	Prost	Before Prost, Chief Judge, Dyk and Hughes, Circuit Judges.
673 F.3d 1330	Bridgestone Americas Tire Operations LLC v Federal Corp	Trademark Trial and Appeal Board	Federal Court	REVERSED	NEWMAN	Before NEWMAN, PLAGER, and BRYSON, Circuit Judges.
842 F.3d 1376	In re Nuvasive Inc	Patent Trial and Appeal Board	Federal Court	VACATED AND REMANDED	Wallach	Before Moore, Wallach, and Taranto, Circuit Judges.
804 F.3d 1367	Tesco Corp v National Oilwell Varco LP	Southern District of Texas	Federal District Court	DISMISSED	O'MALLEY	Before NEWMAN, O'MALLEY, and CHEN, Circuit Judges.
753 F.3d 1220	Tobinick v Olmarker	Patent Trial and Appeal Board	Federal Court	REVERSED.	REYNA	Before LOURIE, REYNA, and WALLACH, Circuit Judges.
803 F.3d 620	Dow Chemical Co v Nova Chemicals Corp (Canada)	District of Delaware	Federal District Court	APPEAL NO. 2014–1462 DISMISSED AS MOOT	DYK	Before PROST, Chief Judge, DYK and WALLACH, Circuit Judges.
758 F.3d 1344	Digitech Image Technologies LLC v Electronics for Imaging Inc	Central District of California	Federal District Court	AFFIRMED	REYNA	Before MOORE, REYNA, and HUGHES, Circuit Judges.
750 F.3d 1339	Oracle America Inc v Google Inc	Northern District of California	Federal District Court	AFFIRMED–IN–PART, REVERSED–IN–PART, AND REMANDED	O'MALLEY	Before O'MALLEY, PLAGER, and TARANTO, Circuit Judges.
830 F.3d 1350	Electric Power Group LLC v Alstom SA	Central District of California	Federal District Court	AFFIRMED	Taranto	Before Taranto, Bryson, and Stoll, Circuit Judges.
758 F.3d 1314	Stauffer v Brooks Bros Group Inc	Southern District of New York	Federal District Court	AFFIRMED	SCHALL	Before LOURIE, SCHALL, and MOORE, Circuit Judges.
738 F.3d 1337	Institut Pasteur And Universite Pierre Et Marie Curie v Focarino	Patent Trial and Appeal Board	Federal Court	DISMISSED IN PART, REVERSED IN PART, VACATED IN PART, AND REMANDED	TARANTO	Before NEWMAN, CLEVENGER, and TARANTO, Circuit Judges.
837 F.3d 1280	Dynamic D Geosolutions LLC v Schlumberger Limited (Schlumberger NV)	Western District of Texas	Federal District Court	AFFIRMED	Lourie	Before Lourie, Wallach, and Hughes, Circuit Judges.
839 F.3d 1111	Massachusetts Institute of Technology v Shire Pharmaceuticals Inc	District of Massachusetts	Federal District Court	AFFIRMED.	Stoll	Before O'Malley, Chen, and Stoll, Circuit Judges.
866 F.3d 1369	AIA America Inc v Avid Radiopharmaceuticals	Eastern District of Pennsylvania	Federal District Court	AFFIRMED	Hughes	Before Newman, Lourie, and Hughes, Circuit Judges.
874 F.3d 1329	TwoWay Media Ltd v Comcast Cable Communications LLC	District of Delaware	Federal District Court	AFFIRMED	REYNA	Before Lourie, Reyna, and Hughes, Circuit Judges.
714 F.3d 1311	Uship Intellectual Properties LLC v US			AFFIRMED	MOORE	Before DYK, BRYSON, and MOORE, Circuit Judges.
796 F.3d 1312	Ethicon EndoSurgery Inc v Covidien Inc	Southern District of Ohio	Federal District Court	AFFIRMED IN PART, REVERSED IN PART, VACATED IN PART, AND REMANDED	CHEN	Before LOURIE, BRYSON, and CHEN, Circuit Judges.
812 F.3d 1076	Synopsys Inc v Lee	Eastern District of Virginia	Federal District Court	DISMISSED AS MOOT	DYK	Before NEWMAN, DYK, and WALLACH, Circuit Judges.
714 F.3d 1277	KTech Telecommunications Inc v Time Warner Cable Inc	Central District of California	Federal District Court	REVERSED AND REMANDED	O'MALLEY	Before MOORE, O'MALLEY, and WALLACH, Circuit Judges.
859 F.3d 1364	Outdry Technologies Corporation v Geox SpA	Patent Trial and Appeal Board	Federal Court	AFFIRMED	Moore	Before Dyk, Moore, and Reyna, Circuit Judges.
682 F.3d 1003	Bard Peripheral Vascular Inc v WL Gore And Associates Inc	District of Arizona	Federal District Court	AFFIRMED IN PART, VACATED IN PART AND REMANDED IN PART.	GAJARSA	Before NEWMAN, GAJARSA, *  and LINN, Circuit Judges.
817 F.3d 1316	Cardpool Inc v Plastic Jungle Inc	Northern District of California	Federal District Court	AFFIRMED	NEWMAN	Before NEWMAN, REYNA, and WALLACH, Circuit Judges.
797 F.3d 1350	ABT Systems LLC v Emerson Elec Co	Eastern District of Missouri	Federal District Court	REVERSED–IN–PART, VACATED–IN–PART, and REMANDED	SCHALL	Before PROST, Chief Judge, CLEVENGER, and SCHALL, Circuit Judges.
764 F.3d 1366	Abbvie Inc v Mathilda and Terence Kennedy Institute of Rheumatology Trust	Southern District of New York	Federal District Court	AFFIRMED.	DYK	Before DYK, WALLACH, and CHEN, Circuit Judges.
874 F.3d 1316	Bayer Pharma AG v Watson Laboratories Inc	District of Delaware	Federal District Court	REVERSED	Moore	Before Lourie, Moore, and O'Malley, Circuit Judges.
807 F.3d 1346	CardSoft (assignment for the Benefit of Creditors) LLC v VeriFone Inc	Eastern District of Texas	Federal District Court	REVERSED	HUGHES	Before PROST, Chief Judge, TARANTO and HUGHES, Circuit Judges.
794 F.3d 1372	In re Posco	District of New Jersey	Federal District Court	Petition granted.	DYK	Before NEWMAN, DYK, and HUGHES, Circuit Judges.
714 F.3d 1363	Deckers Outdoor Corp v US	United States Court of International Trade	Federal Court	AFFIRMED	MAYER	Before DYK, MAYER, and REYNA, Circuit Judges.
822 F.3d 1289	Jiaxing Bro Fastener Co Ltd v US			AFFIRMED	REYNA	Before O'MALLEY, REYNA, and CHEN, Circuit Judges.
814 F.3d 1309	Synopsys Inc v Mentor Graphics Corp	Patent Trial and Appeal Board	Federal Court	AFFIRMED		Before NEWMAN, DYK, and WALLACH, Circuit Judges.
748 F.3d 1354	SanofiAventis Deutschland GmbH v Glenmark Pharmaceuticals Inc USA	District of New Jersey	Federal District Court	AFFIRMED AND REMANDED	NEWMAN	Before NEWMAN, LINN, and WALLACH, Circuit Judges.
755 F.3d 912	Fedmet Resources Corp v US	United States Court of International Trade	Federal Court	REVERSED AND REMANDED	REYNA	Before RADER, * REYNA, and WALLACH, Circuit Judges.
686 F.3d 1348	Momenta Pharmaceuticals Inc v Amphastar Pharmaceuticals Inc	District of Massachusetts	Federal District Court	VACATED AND REMANDED.	MOORE	Before RADER, Chief Judge, DYK and MOORE, Circuit Judges.
672 F.3d 1309	Zoltek Corp v US	United States Court of Federal Claims	Federal Court	REVERSED IN PART, VACATED IN PART, AND REMANDED	GAJARSA	Before RADER, Chief Judge, PLAGER and GAJARSA, *  Circuit Judges.
855 F.3d 1328	Nichia Corporation v Everlight Americas Inc	Eastern District of Texas	Federal District Court	AFFIRMED	Stoll	Before Reyna, Hughes, and Stoll, Circuit Judges.
824 F.3d 1344	Warsaw Orthopedic Inc v NuVasive Inc	Southern District of California	Federal District Court	AFFIRMED–IN–PART, VACATED–IN–PART, AND REMANDED–IN–PART	Dyk	Before Lourie, Dyk, and Reyna, Circuit Judges.
716 F.3d 586	SanofiAventis Deutschland GmbH v Genentech Inc	Eastern District of Texas	Federal District Court	AFFIRMED.	REYNA	Before RADER, Chief Judge, DYK and REYNA, Circuit Judges.
687 F.3d 1266	Bancorp Services LLC v Sun Life Assur Co of Canada (US)	Eastern District of Missouri	Federal District Court	AFFIRMED	LOURIE	Before LOURIE, PROST, and WALLACH, Circuit Judges.
768 F.3d 1185	American Calcar Inc v American Honda Motor Co Inc	Southern District of California	Federal District Court	AFFIRMED.	PROST	Before PROST, Chief Judge, * NEWMAN and WALLACH, Circuit Judges.
706 F.3d 1365	Semiconductor Energy Laboratory Co Ltd v Nagata	Northern District of California	Federal District Court	AFFIRMED.	LOURIE	Before LOURIE, BRYSON, *  and WALLACH, Circuit Judges.
695 F.3d 1247	DuoProSS Meditech Corp v Inviro Medical Devices Ltd	Trademark Trial and Appeal Board	Federal Court	REVERSED AND REMANDED	O'MALLEY	Before PROST, MOORE, and O'MALLEY, Circuit Judges.
832 F.3d 1327	In re Warsaw Orthopedic Inc	Patent Trial and Appeal Board	Federal Court	AFFIRMED-IN-PART, VACATED-IN-PART, AND REMANDED	Wallach	Before Prost, Chief Judge, Bryson and Wallach, Circuit Judges.
822 F.3d 1355	Intendis GMBH v Glenmark Pharmaceuticals Inc USA	District of Delaware	Federal District Court	AFFIRMED	MOORE	Before PROST, Chief Judge, MOORE and TARANTO, Circuit Judges.
800 F.3d 1375	Dynamic Drinkware LLC v National Graphics Inc	Patent Trial and Appeal Board	Federal Court	AFFIRMED.	LOURIE	Before LOURIE, BRYSON, and O'MALLEY, Circuit Judges.
731 F.3d 1248	Rambus Inc v Rea			AFFIRMED–IN–PART, VACATED–IN–PART, AND REMANDED	MOORE	Before MOORE, LINN, and O'MALLEY, Circuit Judges.
773 F.3d 1266	Memorylink Corp v Motorola Solutions Inc Motorola Mobility Inc	Northern District of Illinois	Federal District Court	AFFIRMED	LOURIE	Before LOURIE, MOORE, and O'MALLEY, Circuit Judges.
753 F.3d 1258	Consumer Watchdog v Wisconsin Alumni Research Foundation	Patent Trial and Appeal Board	Federal Court	DISMISSED	RADER	Before PROST, *  Chief Judge, RADER, **  and HUGHES, Circuit Judges.
767 F.3d 1308	Virnetx Inc v Cisco Systems Inc	Eastern District of Texas	Federal District Court	AFFIRMED–IN–PART, REVERSED–IN–PART, VACATED–IN–PART and REMANDED	PROST	Before PROST, *  Chief Judge and CHEN, Circuit Judge. **
681 F.3d 1358	Toshiba Corp v Imation Corp	Western District of Wisconsin	Federal District Court	AFFIRMED–IN–PART, VACATED–IN–PART, and REMANDED	MOORE	Before DYK, SCHALL, and MOORE, Circuit Judges.
692 F.3d 1261	Greenliant Systems Inc v Xicor LLC	Northern District of California	Federal District Court	AFFIRMED	DYK	Before LINN, PLAGER, and DYK, Circuit Judges.
769 F.3d 1339	BristolMyers Squibb Co v Teva Pharmaceuticals USA Inc			(2) The petition for rehearing en banc is denied.		Before  PROST,  Chief  Judge,  NEWMAN,  PLAGER 1 ,  LOURIE,  DYK,  MOORE,  O'MALLEY,  REYNA,
753 F.3d 1291	Source Vagabond Systems Ltd v Hydrapak Inc	Southern District of New York	Federal District Court	AFFIRMED.	WALLACH	Before MOORE, REYNA, and WALLACH, Circuit Judges.
847 F.3d 1354	American Tubular Products LLC v United States	United States Court of International Trade	Federal Court	AFFIRMED	Lourie	Before Newman, Mayer, and Lourie, Circuit Judges.
822 F.3d 1347	Merck And Cie v Watson Laboratories Inc	District of Delaware	Federal District Court	REVERSED	MAYER	Before DYK, MAYER, and HUGHES, Circuit Judges.
769 F.3d 1102	Victoria's Secret Direct LLC v US	United States Court of International Trade	Federal Court	AFFIRMED	TARANTO	Before MOORE, REYNA, and TARANTO, Circuit Judges.
846 F.3d 1190	Tinnus Enterprises LLC v Telebrands Corporation	Eastern District of Texas	Federal District Court	AFFIRMED	Stoll	Before Moore, Wallach, and Stoll, Circuit Judges.
859 F.3d 1023	Lyons v American College of Veterinary Sports Medicine and Rehabilitation	Trademark Trial and Appeal Board	Federal Court	AFFIRMED	Lourie	Before Lourie, Wallach, and Stoll, Circuit Judges.
808 F.3d 509	Openwave Systems Inc v Apple Inc	District of Delaware	Federal District Court	AFFIRMED.	O'MALLEY	Before MOORE, O'MALLEY, and CHEN, Circuit Judges.
676 F.3d 1024	Byrne v Wood Herron And Evans LLP	Eastern District of Kentucky	Federal District Court	(2) The petition of Plaintiff–Appellant for rehearing en banc is denied.		Before  RADER,  Chief  Judge,  NEWMAN,  LOURIE,  BRYSON,  GAJARSA, * LINN,  DYK,  PROST,  MOORE,
744 F.3d 1376	Vederi LLC v Google Inc	Central District of California	Federal District Court	VACATED AND REMANDED.	RADER	
847 F.3d 1363	MPHJ Technology Investments LLC v Ricoh Americas Corporation	Patent Trial and Appeal Board	Federal Court	AFFIRMED.	Newman	Before Newman, Lourie, and O'Malley, Circuit Judges.
755 F.3d 1356	CEATS Inc v Continental Airlines Inc	Eastern District of Texas	Federal District Court	AFFIRMED.	O'MALLEY	Before PROST, *  Chief Judge, RADER, **  and O'MALLEY, Circuit Judges.
728 F.3d 1309	Trading Technologies Intern Inc v Open E Cry LLC	Northern District of Illinois	Federal District Court	REVERSED AND REMANDED	LOURIE	Before LOURIE and PLAGER, Circuit Judges, and BENSON, District Judge. *
809 F.3d 1237	In re Urbanski	Patent Trial and Appeal Board	Federal Court	AFFIRMED.	LOURIE	Before LOURIE, BRYSON, and CHEN, Circuit Judges.
790 F.3d 1349	GD Searle LLC v Lupin Pharmaceuticals Inc	Eastern District of Virginia	Federal District Court	AFFIRMED	BRYSON	Before PROST, Chief Judge, BRYSON and HUGHES, Circuit Judges.
766 F.3d 1338	Epos Technologies Ltd v Pegasus Technologies Ltd	Federal Circuit	Appellate Court	VACATED–IN–PART, REVERSED–IN–PART, AND REMANDED	HUGHES	
